# CSV file produced by Simufact
# Date of creation: 17.10.2021 13:23:19
#
# 1 (TIME - s);1 (Y displacement - mm);# 10 (TIME - s);10 (Y displacement - mm);# 2 (TIME - s);2 (Y displacement - mm);# 3 (TIME - s);3 (Y displacement - mm);# 4 (TIME - s);4 (Y displacement - mm);# 5 (TIME - s);5 (Y displacement - mm);# 6 (TIME - s);6 (Y displacement - mm);# 7 (TIME - s);7 (Y displacement - mm);# 8 (TIME - s);8 (Y displacement - mm);# 9 (TIME - s);9 (Y displacement - mm)
38551.3622;0.00504239782;38551.3622;0.00502454322;38551.3622;0.00864723235;38551.3622;0.0118184768;38551.3622;0.00685675717;38551.3622;0.00266022384;38551.3622;-0.000598786499;38551.3622;-0.00276087154;38551.3622;0.000364766342;38551.3622;0.00951020384
38982.5681;0.00501308338;38982.5681;0.00498470598;38982.5681;0.00862844979;38982.5681;0.0118081536;38982.5681;0.00681914178;38982.5681;0.00259569125;38982.5681;-0.000693414933;38982.5681;-0.00286611741;38982.5681;0.000297437864;38982.5681;0.00948730728
38982.5684;0.00498758102;38982.5684;0.00496626334;38982.5684;0.00861714315;38982.5684;0.0118126749;38982.5684;0.0068114155;38982.5684;0.00257432913;38982.5684;-0.000719879884;38982.5684;-0.00289843926;38982.5684;0.000266113733;38982.5684;0.00948776964
38982.7441;0.00498542354;38982.7441;0.00496470365;38982.7441;0.00861526564;38982.7441;0.0118112937;38982.7441;0.00681036173;38982.7441;0.00257336864;38982.7441;-0.000719706283;38982.7441;-0.00289781599;38982.7441;0.00026537455;38982.7441;0.00948667751
38994.1684;0.0050027389;38994.1684;0.00499485702;38994.1684;0.00862823173;38994.1684;0.0118242168;38994.1684;0.00684526141;38994.1684;0.00262424531;38994.1684;-0.000672957363;38994.1684;-0.0028582798;38994.1684;0.000291785782;38994.1684;0.00951244726
39418.0149;0.00499682018;39418.0149;0.00498021592;39418.0149;0.00863071437;39418.0149;0.0118333618;39418.0149;0.00683226853;39418.0149;0.0025893285;39418.0149;-0.000734650496;39418.0149;-0.00292970074;39418.0149;0.000253018177;39418.0149;0.00951140931
39418.0152;0.00498556675;39418.0152;0.00497610419;39418.0152;0.00863295658;39418.0152;0.0118508149;39418.0152;0.00683864084;39418.0152;0.00258296711;39418.0152;-0.000747654562;39418.0152;-0.00294943254;39418.0152;0.000235010613;39418.0152;0.00952541506
39418.1909;0.00497588635;39418.1909;0.00496668426;39418.1909;0.00862352927;39418.1909;0.0118417362;39418.1909;0.00682950454;39418.1909;0.0025737029;39418.1909;-0.000755833433;39418.1909;-0.00295707202;39418.1909;0.000226420175;39418.1909;0.00951636468
39429.6152;0.00500469975;39429.6152;0.00500579733;39429.6152;0.00864955865;39429.6152;0.0118682074;39429.6152;0.00687256924;39429.6152;0.00262907651;39429.6152;-0.000702019507;39429.6152;-0.00290793841;39429.6152;0.000263989826;39429.6152;0.00955248729
39846.9418;0.00496846541;39846.9418;0.00496409866;39846.9418;0.00862153558;39846.9418;0.0118478288;39846.9418;0.00683425512;39846.9418;0.00257151767;39846.9418;-0.000785525453;39846.9418;-0.00300224671;39846.9418;0.000198004234;39846.9418;0.00952460396
