# CSV file produced by Simufact
# Date of creation: 05.10.2021 14:39:11
#
# 1 (TIME - s);1 (Temperature - ¢XC);# 2 (TIME - s);2 (Temperature - ¢XC);# 3 (TIME - s);3 (Temperature - ¢XC);# 4 (TIME - s);4 (Temperature - ¢XC);# 5 (TIME - s);5 (Temperature - ¢XC);# 6 (TIME - s);6 (Temperature - ¢XC);# 7 (TIME - s);7 (Temperature - ¢XC);# 8 (TIME - s);8 (Temperature - ¢XC);# 9 (TIME - s);9 (Temperature - ¢XC)
34672.1607;206.919279;34672.1607;206.992318;34672.1607;207.092418;34672.1607;207.125252;34672.1607;207.037999;34672.1607;206.976808;34672.1607;206.945324;34672.1607;207.031084;34672.1607;207.073274
34683.585;206.550501;34683.585;206.612883;34683.585;206.694862;34683.585;206.720437;34683.585;206.647088;34683.585;206.596238;34683.585;206.571061;34683.585;206.643478;34683.585;206.680148
35007.8241;206.860062;35007.8241;206.934466;35007.8241;207.037888;35007.8241;207.072382;35007.8241;206.982858;35007.8241;206.919917;35007.8241;206.887202;35007.8241;206.974933;35007.8241;207.017713
35007.8241;206.860061;35007.8241;206.934466;35007.8241;207.037887;35007.8241;207.072381;35007.8241;206.982858;35007.8241;206.919917;35007.8241;206.887201;35007.8241;206.974932;35007.8241;207.017712
35007.9999;206.855039;35007.9999;206.929281;35007.9999;207.032397;35007.9999;207.066758;35007.9999;206.977465;35007.9999;206.914695;35007.9999;206.882087;35007.9999;206.969605;35007.9999;207.012303
35019.4241;206.505192;35019.4241;206.569105;35019.4241;206.654332;35019.4241;206.681412;35019.4241;206.605803;35019.4241;206.553202;35019.4241;206.526823;35019.4241;206.601316;35019.4241;206.638682
35341.961;206.818117;35341.961;206.893573;35341.961;206.999595;35341.961;207.035399;35341.961;206.944106;35341.961;206.879799;35341.961;206.846117;35341.961;206.935377;35341.961;206.978605
35341.961;206.818117;35341.961;206.893572;35341.961;206.999594;35341.961;207.035399;35341.961;206.944106;35341.961;206.879799;35341.961;206.846117;35341.961;206.935377;35341.961;206.978604
35342.1367;206.81335;35342.1367;206.88865;35342.1367;206.994381;35342.1367;207.030058;35342.1367;206.938986;35342.1367;206.874842;35342.1367;206.841262;35342.1367;206.930319;35342.1367;206.973468
35353.561;206.480302;35353.561;206.545555;35353.561;206.633605;35353.561;206.661987;35353.561;206.584404;35353.561;206.530277;35353.561;206.502858;35353.561;206.579165;35353.561;206.617145
35674.1796;206.759967;35674.1796;206.836391;35674.1796;206.944899;35674.1796;206.981975;35674.1796;206.889008;35674.1796;206.823404;35674.1796;206.788794;35674.1796;206.879487;35674.1796;206.923117
35674.1796;206.759966;35674.1796;206.836391;35674.1796;206.944899;35674.1796;206.981974;35674.1796;206.889008;35674.1796;206.823403;35674.1796;206.788794;35674.1796;206.879486;35674.1796;206.923117
35674.3553;206.755463;35674.3553;206.83174;35674.3553;206.939971;35674.3553;206.976927;35674.3553;206.884169;35674.3553;206.81872;35674.3553;206.784207;35674.3553;206.874707;35674.3553;206.918263
